M,N,K,TILE_M,TILE_N,TILE_K,STAGES,dtype,time_ms,TFLOPS
64,16,131072,64,16,16,0,BF16,0.764357,0.351191
64,16,131072,64,16,16,2,BF16,1.51016,0.177754
64,16,131072,64,16,16,3,BF16,1.02456,0.261999
64,16,131072,64,16,16,4,BF16,0.801915,0.334743
64,16,131072,64,16,16,5,BF16,0.767373,0.349811
64,16,131072,64,16,16,6,BF16,0.774398,0.346637
64,16,131072,64,16,16,7,BF16,0.784072,0.342361
64,16,131072,64,16,16,8,BF16,0.76813,0.349466
64,16,131072,64,16,32,0,BF16,0.391358,0.685907
64,16,131072,64,16,32,2,BF16,0.809662,0.33154
64,16,131072,64,16,32,3,BF16,0.554579,0.484034
64,16,131072,64,16,32,4,BF16,0.409893,0.654892
64,16,131072,64,16,32,5,BF16,0.39013,0.688067
64,16,131072,64,16,32,6,BF16,0.401621,0.66838
64,16,131072,64,16,32,7,BF16,0.412123,0.651348
64,16,131072,64,16,32,8,BF16,0.39571,0.678363
64,16,131072,64,16,64,0,BF16,0.199378,1.34637
64,16,131072,64,16,64,2,BF16,0.436059,0.615594
64,16,131072,64,16,64,3,BF16,0.292941,0.916347
64,16,131072,64,16,64,4,BF16,0.225976,1.18789
64,16,131072,64,16,64,5,BF16,0.209974,1.27842
64,16,131072,64,16,64,6,BF16,0.21864,1.22775
64,16,131072,64,16,64,7,BF16,0.22703,1.18238
64,16,131072,64,16,64,8,BF16,0.199747,1.34388
64,16,131072,64,16,128,0,BF16,0.170038,1.57868
64,16,131072,64,16,128,2,BF16,0.296264,0.906068
64,16,131072,64,16,128,3,BF16,0.194448,1.3805
64,16,131072,64,16,128,4,BF16,0.164307,1.63374
64,16,131072,64,16,128,5,BF16,0.171168,1.56826
64,16,131072,64,16,128,6,BF16,0.176552,1.52043
64,16,131072,64,16,128,7,BF16,0.182606,1.47002
64,16,131072,64,16,128,8,BF16,0.164234,1.63447
64,16,131072,64,16,256,0,BF16,0.168282,1.59516
64,16,131072,64,16,256,2,BF16,0.229885,1.1677
64,16,131072,64,16,256,3,BF16,0.162235,1.65461
64,16,131072,64,16,256,4,BF16,0.168366,1.59435
64,16,131072,64,16,256,5,BF16,0.174899,1.5348
# BUILD_FAILED: 64,16,256,6,0
# BUILD_FAILED: 64,16,256,7,0
# BUILD_FAILED: 64,16,256,8,0
64,32,131072,64,32,16,0,BF16,0.83393,0.643784
64,32,131072,64,32,16,2,BF16,1.58168,0.339432
64,32,131072,64,32,16,3,BF16,1.05089,0.510872
64,32,131072,64,32,16,4,BF16,0.791674,0.678147
64,32,131072,64,32,16,5,BF16,0.772318,0.695142
64,32,131072,64,32,16,6,BF16,0.766245,0.700652
64,32,131072,64,32,16,7,BF16,0.773779,0.69383
64,32,131072,64,32,16,8,BF16,0.760666,0.705791
64,32,131072,64,32,32,0,BF16,0.392662,1.36726
64,32,131072,64,32,32,2,BF16,0.839096,0.639821
64,32,131072,64,32,32,3,BF16,0.559552,0.959466
64,32,131072,64,32,32,4,BF16,0.427102,1.25701
64,32,131072,64,32,32,5,BF16,0.389723,1.37757
64,32,131072,64,32,32,6,BF16,0.401608,1.3368
64,32,131072,64,32,32,7,BF16,0.396581,1.35375
64,32,131072,64,32,32,8,BF16,0.390504,1.37482
64,32,131072,64,32,64,0,BF16,0.19891,2.69906
64,32,131072,64,32,64,2,BF16,0.465659,1.15293
64,32,131072,64,32,64,3,BF16,0.319373,1.68102
64,32,131072,64,32,64,4,BF16,0.231854,2.31555
64,32,131072,64,32,64,5,BF16,0.201083,2.66989
64,32,131072,64,32,64,6,BF16,0.199458,2.69165
64,32,131072,64,32,64,7,BF16,0.20961,2.56129
64,32,131072,64,32,64,8,BF16,0.214211,2.50627
64,32,131072,64,32,128,0,BF16,0.168421,3.18768
64,32,131072,64,32,128,2,BF16,0.31348,1.71262
64,32,131072,64,32,128,3,BF16,0.205144,2.61704
64,32,131072,64,32,128,4,BF16,0.174408,3.07825
