CTAsPerSM,ThreadsPerBlock,LoadType,LoadBytes,LatencyCyclesMedian,LatencyCyclesMin,LatencyCyclesMax,LatencyNsMedian
1,32,float,4,1956.0,1795.0,2540.0,1241.904761904762
1,32,float2,8,1594.0,1476.0,2119.0,1012.063492063492
1,32,float4,16,1255.0,1189.0,1599.0,796.8253968253969
1,64,float,4,1003.0,631.0,2714.0,636.8253968253969
1,64,float2,8,1736.0,1616.0,2529.0,1102.2222222222222
1,64,float4,16,1375.0,1294.0,1834.0,873.015873015873
1,128,float,4,1024.0,937.0,1667.0,650.1587301587301
1,128,float2,8,654.0,603.0,2006.0,415.23809523809524
1,128,float4,16,657.0,601.0,873.0,417.14285714285717
1,256,float,4,614.0,549.0,770.0,389.8412698412699
1,256,float2,8,2109.0,401.0,3443.0,1339.047619047619
1,256,float4,16,1857.0,1606.0,2905.0,1179.047619047619
2,32,float,4,1359.0,1278.0,1779.0,862.8571428571429
2,32,float2,8,1012.0,938.0,4498.0,642.5396825396825
2,32,float4,16,643.0,601.0,789.0,408.25396825396825
2,64,float,4,656.0,594.0,796.0,416.5079365079365
2,64,float2,8,2023.0,435.0,2853.0,1284.4444444444446
2,64,float4,16,1798.0,1634.0,2317.0,1141.5873015873017
2,128,float,4,1355.0,1243.0,1481.0,860.3174603174604
2,128,float2,8,1055.0,926.0,1364.0,669.8412698412699
2,128,float4,16,731.0,626.0,961.0,464.12698412698415
2,256,float,4,654.0,572.0,723.0,415.23809523809524
2,256,float2,8,2194.0,402.0,2660.0,1393.015873015873
2,256,float4,16,2141.0,1691.0,3195.0,1359.3650793650795
3,32,float,4,1295.0,1217.0,1998.0,822.2222222222223
3,32,float2,8,980.0,900.0,1359.0,622.2222222222223
3,32,float4,16,632.0,600.0,751.0,401.26984126984127
3,64,float,4,628.0,574.0,827.0,398.73015873015873
3,64,float2,8,641.0,577.0,818.0,406.984126984127
3,64,float4,16,672.0,604.0,900.0,426.6666666666667
3,128,float,4,1716.0,1523.0,2356.0,1089.5238095238096
3,128,float2,8,1445.0,1265.0,2057.0,917.4603174603175
3,128,float4,16,1211.0,983.0,1943.0,768.8888888888889
3,256,float,4,684.0,506.0,866.0,434.2857142857143
3,256,float2,8,656.0,464.0,817.0,416.5079365079365
3,256,float4,16,2659.0,368.0,3715.0,1688.2539682539682
4,32,float,4,1671.0,1549.0,3156.0,1060.952380952381
4,32,float2,8,1379.0,1265.0,1608.0,875.5555555555555
4,32,float4,16,1049.0,963.0,1443.0,666.031746031746
4,64,float,4,618.0,555.0,777.0,392.3809523809524
4,64,float2,8,646.0,569.0,811.0,410.1587301587302
4,64,float4,16,674.0,585.0,904.0,427.93650793650795
4,128,float,4,2099.0,359.0,3819.0,1332.6984126984128
4,128,float2,8,1879.0,1619.0,2459.0,1193.015873015873
4,128,float4,16,1622.0,1307.0,2027.0,1029.8412698412699
4,256,float,4,985.0,756.0,1498.0,625.3968253968254
4,256,float2,8,645.0,359.0,3319.0,409.5238095238095
4,256,float4,16,2337.0,1633.0,3491.0,1483.8095238095239
