CTAsPerSM,NumStages,ThreadsPerBlock,LoadType,LoadBytes,DRAMBandwidthBps,SMCyclesAvg,LDGSTSTotal,LDGSTSWarpPerCycle
1,4,64,float4,16,0,7520903.0,1048521.0,0.14
1,4,64,float4,16,0,6732292.3,1048521.0,0.16
1,4,64,float4,16,0,7490457.9,1048521.0,0.14
1,4,64,float4,16,0,7525759.7,1048521.0,0.14
1,4,64,float4,16,0,7465492.8,1048521.0,0.14
1,4,128,float4,16,0,4869726.2,1048481.0,0.22
1,4,256,float4,16,0,4312785.7,1048321.0,0.24
1,8,64,float4,16,0,2553092.9,524241.0,0.21
1,8,128,float4,16,0,2295135.3,524161.0,0.23
1,8,256,float4,16,0,2162964.2,524004.0,0.24
1,12,64,float4,16,0,1643215.6,349481.0,0.21
1,12,128,float4,16,0,1479350.7,349441.0,0.24
1,12,256,float4,16,0,1628488.6,349284.0,0.21
1,16,64,float4,16,0,1226088.1,262081.0,0.21
1,16,128,float4,16,0,1095964.1,262004.0,0.24
1,4,64,float4,16,0,7420170.4,1048521.0,0.14
1,4,128,float4,16,0,5001501.2,1048481.0,0.21
1,4,256,float4,16,0,3309170.8,1048321.0,0.32
1,8,64,float4,16,0,2565402.0,524241.0,0.2
1,8,128,float4,16,0,2175118.5,524161.0,0.24
1,8,256,float4,16,0,1643217.4,524004.0,0.32
1,12,64,float4,16,0,1639172.9,349481.0,0.21
1,12,128,float4,16,0,1478429.6,349441.0,0.24
1,12,256,float4,16,0,1458706.1,349284.0,0.24
1,16,64,float4,16,0,1234488.8,262081.0,0.21
1,16,128,float4,16,0,1102837.4,262004.0,0.24
