CTAsPerSM,NumStages,ThreadsPerBlock,LoadType,LoadBytes,DRAMBandwidthBps,SMCyclesAvg,LDGSTSTotal,LDGSTSWarpPerCycle
1,1,64,float,4,0,359694155.6,16777161.0,0.05
1,1,128,float,4,0,179783479.5,16777121.0,0.09
1,1,256,float,4,0,90042596.5,16776961.0,0.19
1,2,64,float,4,0,90563337.1,8388561.0,0.09
1,2,128,float,4,0,45529974.3,8388481.0,0.18
1,2,256,float,4,0,23455589.2,8388324.0,0.36
1,4,64,float,4,0,23099206.7,4194241.0,0.18
1,4,128,float,4,0,11956033.1,4194164.0,0.35
1,4,256,float,4,0,6970890.5,4194081.0,0.6
2,1,64,float,4,0,179870395.8,16777121.0,0.09
2,1,128,float,4,0,90273368.0,16776961.0,0.19
2,1,256,float,4,0,46518156.1,16776644.0,0.36
2,2,64,float,4,0,45604193.8,8388481.0,0.18
2,2,128,float,4,0,23771433.4,8388324.0,0.35
2,2,256,float,4,0,13592276.5,8388161.0,0.62
2,4,64,float,4,0,12299561.1,4194164.0,0.34
2,4,128,float,4,0,6850227.4,4194081.0,0.61
2,4,256,float,4,0,4839817.1,4193921.0,0.87
3,1,64,float,4,0,113420328.9,16777081.0,0.15
3,1,128,float,4,0,60842385.6,16776961.0,0.28
3,1,256,float,4,0,32688706.4,16776484.0,0.51
3,2,64,float,4,0,30697216.9,8388481.0,0.27
3,2,128,float,4,0,15555041.8,8388244.0,0.54
3,2,256,float,4,0,9826956.4,8388004.0,0.85
3,4,64,float,4,0,7963447.8,4194124.0,0.53
3,4,128,float,4,0,5410131.2,4194004.0,0.78
3,4,256,float,4,0,5034316.2,4193761.0,0.83
4,1,64,float,4,0,90154299.0,16776961.0,0.19
4,1,128,float,4,0,46576247.5,16776644.0,0.36
4,1,256,float,4,0,26539667.6,16776321.0,0.63
4,2,64,float,4,0,23646413.1,8388324.0,0.35
4,2,128,float,4,0,13619889.6,8388161.0,0.62
4,2,256,float,4,0,9776606.2,8387841.0,0.86
4,4,64,float,4,0,6892543.6,4194081.0,0.61
4,4,128,float,4,0,4945791.1,4193921.0,0.85
4,4,256,float,4,0,5401454.3,4193281.0,0.78
1,1,64,float2,8,0,185195573.0,8388561.0,0.05
1,1,128,float2,8,0,92836135.8,8388481.0,0.09
1,1,256,float2,8,0,47427878.1,8388324.0,0.18
1,2,64,float2,8,0,46663478.7,4194241.0,0.09
1,2,128,float2,8,0,24119810.7,4194164.0,0.17
1,2,256,float2,8,0,13205218.8,4194081.0,0.32
1,4,64,float2,8,0,12110025.7,2097084.0,0.17
1,4,128,float2,8,0,6266030.7,2097041.0,0.33
1,4,256,float2,8,0,4677983.9,2096961.0,0.45
2,1,64,float2,8,0,92944549.1,8388481.0,0.09
2,1,128,float2,8,0,47360052.0,8388324.0,0.18
2,1,256,float2,8,0,25952041.1,8388161.0,0.32
2,2,64,float2,8,0,23924493.3,4194164.0,0.18
2,2,128,float2,8,0,13177586.0,4194081.0,0.32
2,2,256,float2,8,0,9432176.4,4193921.0,0.44
2,4,64,float2,8,0,6801419.9,2097041.0,0.31
2,4,128,float2,8,0,4896210.3,2096961.0,0.43
2,4,256,float2,8,0,4651990.4,2096641.0,0.45
3,1,64,float2,8,0,62506383.5,8388481.0,0.13
3,1,128,float2,8,0,32860648.8,8388244.0,0.26
3,1,256,float2,8,0,20271743.3,8388004.0,0.41
3,2,64,float2,8,0,16622609.8,4194124.0,0.25
3,2,128,float2,8,0,10164247.9,4194004.0,0.41
3,2,256,float2,8,0,8891355.2,4193761.0,0.47
3,4,64,float2,8,0,5195920.8,2097004.0,0.4
3,4,128,float2,8,0,4889003.3,2096881.0,0.43
3,4,256,float2,8,0,4433174.5,2096641.0,0.47
4,1,64,float2,8,0,47288082.2,8388324.0,0.18
4,1,128,float2,8,0,25898732.7,8388161.0,0.32
4,1,256,float2,8,0,18923569.5,8387841.0,0.44
4,2,64,float2,8,0,13241187.3,4194081.0,0.32
4,2,128,float2,8,0,9299260.6,4193921.0,0.45
4,2,256,float2,8,0,8968929.5,4193281.0,0.47
4,4,64,float2,8,0,4660530.3,2096961.0,0.45
4,4,128,float2,8,0,4553993.2,2096641.0,0.46
4,4,256,float2,8,0,4413489.5,2096004.0,0.47
1,1,64,float4,16,0,100434429.2,4194241.0,0.04
1,1,128,float4,16,0,52059920.8,4194164.0,0.08
1,1,256,float4,16,0,28622540.7,4194081.0,0.15
1,2,64,float4,16,0,26641523.3,2097084.0,0.08
1,2,128,float4,16,0,13083784.2,2097041.0,0.16
1,2,256,float4,16,0,9699783.2,2096961.0,0.22
1,4,64,float4,16,0,7570847.8,1048521.0,0.14
1,4,128,float4,16,0,4931513.5,1048481.0,0.21
1,4,256,float4,16,0,4401689.9,1048321.0,0.24
2,1,64,float4,16,0,52046130.0,4194164.0,0.08
2,1,128,float4,16,0,28637146.1,4194081.0,0.15
2,1,256,float4,16,0,19211080.2,4193921.0,0.22
2,2,64,float4,16,0,14739857.8,2097041.0,0.14
2,2,128,float4,16,0,9617099.0,2096961.0,0.22
2,2,256,float4,16,0,8793927.9,2096641.0,0.24
2,4,64,float4,16,0,4997144.8,1048481.0,0.21
2,4,128,float4,16,0,4388215.6,1048321.0,0.24
2,4,256,float4,16,0,4374796.6,1048004.0,0.24
3,1,64,float4,16,0,36318317.7,4194124.0,0.12
3,1,128,float4,16,0,21776392.0,4194004.0,0.19
3,1,256,float4,16,0,18179259.2,4193761.0,0.23
3,2,64,float4,16,0,11110288.3,2097004.0,0.19
3,2,128,float4,16,0,9120311.3,2096881.0,0.23
3,2,256,float4,16,0,8844532.6,2096641.0,0.24
3,4,64,float4,16,0,4682263.2,1048441.0,0.22
3,4,128,float4,16,0,4395208.1,1048321.0,0.24
3,4,256,float4,16,0,4934856.7,1047844.0,0.21
4,1,64,float4,16,0,28787252.7,4194081.0,0.15
4,1,128,float4,16,0,19150997.6,4193921.0,0.22
4,1,256,float4,16,0,18163855.1,4193281.0,0.23
4,2,64,float4,16,0,9602712.4,2096961.0,0.22
4,2,128,float4,16,0,8772142.3,2096641.0,0.24
4,2,256,float4,16,0,8730106.2,2096004.0,0.24
4,4,64,float4,16,0,4407020.6,1048321.0,0.24
4,4,128,float4,16,0,4368511.7,1048004.0,0.24
4,4,256,float4,16,0,4423549.5,1047681.0,0.24
