sm_a,sm_b,mean_abs_diff,gpc_a,gpc_b
0,0,0.0,0,0
0,1,132.7,0,0
0,6,143.0,0,0
0,7,137.8,0,0
0,12,137.4,0,0
0,13,132.5,0,0
0,2,116.3,0,1
0,3,97.2,0,1
0,8,104.4,0,1
0,9,101.7,0,1
0,14,124.7,0,1
0,15,117.1,0,1
0,4,149.6,0,2
0,5,171.5,0,2
0,10,102.2,0,2
0,11,110.9,0,2
0,16,89.0,0,2
0,17,105.8,0,2
0,18,153.3,0,2
0,19,91.4,0,2
1,0,132.7,0,0
1,1,0.0,0,0
1,6,97.3,0,0
1,7,109.8,0,0
1,12,106.6,0,0
1,13,103.2,0,0
1,2,98.8,0,1
1,3,125.2,0,1
1,8,111.6,0,1
1,9,111.2,0,1
1,14,98.2,0,1
1,15,92.6,0,1
1,4,93.5,0,2
1,5,92.9,0,2
1,10,112.6,0,2
1,11,98.6,0,2
1,16,139.5,0,2
1,17,118.8,0,2
1,18,129.0,0,2
1,19,156.2,0,2
6,0,143.0,0,0
6,1,97.3,0,0
6,6,0.0,0,0
6,7,89.7,0,0
6,12,136.8,0,0
6,13,89.2,0,0
6,2,106.1,0,1
6,3,139.8,0,1
6,8,113.9,0,1
6,9,116.7,0,1
6,14,91.1,0,1
6,15,129.2,0,1
6,4,92.5,0,2
6,5,123.0,0,2
6,10,123.6,0,2
6,11,98.4,0,2
6,16,152.0,0,2
6,17,127.6,0,2
6,18,119.5,0,2
6,19,168.7,0,2
7,0,137.8,0,0
7,1,109.8,0,0
7,6,89.7,0,0
7,7,0.0,0,0
7,12,165.0,0,0
7,13,88.9,0,0
7,2,98.8,0,1
7,3,134.0,0,1
7,8,96.5,0,1
7,9,113.6,0,1
7,14,113.6,0,1
7,15,151.1,0,1
7,4,85.4,0,2
7,5,138.5,0,2
7,10,116.0,0,2
7,11,116.9,0,2
7,16,142.4,0,2
7,17,114.7,0,2
7,18,158.9,0,2
7,19,142.9,0,2
12,0,137.4,0,0
12,1,106.6,0,0
12,6,136.8,0,0
12,7,165.0,0,0
12,12,0.0,0,0
12,13,150.4,0,0
12,2,120.4,0,1
12,3,131.0,0,1
12,8,152.0,0,1
12,9,139.3,0,1
12,14,105.1,0,1
12,15,74.3,0,1
12,4,140.4,0,2
12,5,109.3,0,2
12,10,126.9,0,2
12,11,98.0,0,2
12,16,150.7,0,2
12,17,134.5,0,2
12,18,99.2,0,2
12,19,180.4,0,2
13,0,132.5,0,0
13,1,103.2,0,0
13,6,89.2,0,0
13,7,88.9,0,0
13,12,150.4,0,0
13,13,0.0,0,0
13,2,74.0,0,1
13,3,117.6,0,1
13,8,83.5,0,1
13,9,110.2,0,1
13,14,99.9,0,1
13,15,128.6,0,1
13,4,81.5,0,2
13,5,123.7,0,2
13,10,103.5,0,2
13,11,114.7,0,2
13,16,140.2,0,2
13,17,109.7,0,2
13,18,126.9,0,2
13,19,149.2,0,2
2,0,116.3,1,0
2,1,98.8,1,0
2,6,106.1,1,0
2,7,98.8,1,0
2,12,120.4,1,0
2,13,74.0,1,0
2,2,0.0,1,1
2,3,100.6,1,1
2,8,78.3,1,1
2,9,105.8,1,1
2,14,98.0,1,1
2,15,104.0,1,1
2,4,83.3,1,2
2,5,106.6,1,2
2,10,94.0,1,2
2,11,106.7,1,2
2,16,132.6,1,2
2,17,91.1,1,2
2,18,126.0,1,2
2,19,145.9,1,2
3,0,97.2,1,0
3,1,125.2,1,0
3,6,139.8,1,0
3,7,134.0,1,0
3,12,131.0,1,0
3,13,117.6,1,0
3,2,100.6,1,1
3,3,0.0,1,1
3,8,107.8,1,1
3,9,111.3,1,1
3,14,119.2,1,1
3,15,109.4,1,1
3,4,136.4,1,2
3,5,144.7,1,2
3,10,87.0,1,2
3,11,126.7,1,2
3,16,97.3,1,2
3,17,100.5,1,2
3,18,151.7,1,2
3,19,113.9,1,2
8,0,104.4,1,0
8,1,111.6,1,0
8,6,113.9,1,0
8,7,96.5,1,0
8,12,152.0,1,0
8,13,83.5,1,0
8,2,78.3,1,1
8,3,107.8,1,1
8,8,0.0,1,1
8,9,96.5,1,1
8,14,111.9,1,1
8,15,129.9,1,1
8,4,96.9,1,2
8,5,144.0,1,2
8,10,92.6,1,2
8,11,115.7,1,2
8,16,103.2,1,2
8,17,102.3,1,2
8,18,151.3,1,2
8,19,107.6,1,2
9,0,101.7,1,0
9,1,111.2,1,0
9,6,116.7,1,0
9,7,113.6,1,0
9,12,139.3,1,0
9,13,110.2,1,0
9,2,105.8,1,1
9,3,111.3,1,1
9,8,96.5,1,1
9,9,0.0,1,1
9,14,107.1,1,1
9,15,127.2,1,1
9,4,120.3,1,2
9,5,154.1,1,2
9,10,108.6,1,2
9,11,117.3,1,2
9,16,101.3,1,2
9,17,96.4,1,2
9,18,150.0,1,2
9,19,118.0,1,2
14,0,124.7,1,0
14,1,98.2,1,0
14,6,91.1,1,0
14,7,113.6,1,0
14,12,105.1,1,0
14,13,99.9,1,0
14,2,98.0,1,1
14,3,119.2,1,1
14,8,111.9,1,1
14,9,107.1,1,1
14,14,0.0,1,1
