CTAsPerSM,SmemWidth,SmemHeight,TileBytes,LatencyCyclesMedian,LatencyCyclesMin,LatencyCyclesMax,LatencyNsMedian
1,128,1,512,2859.0,2860.0,3270.0,1454.9618320610687
1,128,2,1024,2223.0,2351.0,2925.0,1131.2977099236641
1,128,4,2048,1924.0,1917.0,2351.0,979.1348600508906
1,128,8,4096,1341.0,1238.0,1625.0,682.442748091603
1,128,16,8192,962.0,851.0,1037.0,489.5674300254453
1,128,32,16384,1178.0,1029.0,1293.0,599.4910941475827
1,128,64,32768,6677.0,3753.0,7209.0,3397.9643765903306
1,128,128,65536,9132.0,5499.0,10374.0,4647.328244274809
1,128,256,131072,12534.0,10002.0,14379.0,6378.625954198473
2,128,1,512,1099.0,466.0,1297.0,559.2875318066158
2,128,2,1024,686.0,365.0,767.0,349.1094147582697
2,128,4,2048,717.0,373.0,871.0,364.8854961832061
2,128,8,4096,2367.0,1061.0,3192.0,1204.5801526717557
2,128,16,8192,2714.0,870.0,3125.0,1381.1704834605598
2,128,32,16384,2470.0,1049.0,3523.0,1256.9974554707378
2,128,64,32768,2432.0,1064.0,2809.0,1237.6590330788804
2,128,128,65536,2292.0,997.0,2909.0,1166.412213740458
2,128,256,131072,17657.0,11334.0,24319.0,8985.750636132316
3,128,1,512,1036.0,767.0,2731.0,527.2264631043257
3,128,2,1024,700.0,652.0,2014.0,356.23409669211196
3,128,4,2048,566.0,522.0,1175.0,288.04071246819336
3,128,8,4096,483.0,389.0,875.0,245.80152671755724
3,128,16,8192,627.0,452.0,1187.0,319.08396946564886
3,128,32,16384,2279.0,1057.0,4015.0,1159.796437659033
3,128,64,32768,3601.0,2335.0,6515.0,1832.5699745547074
3,128,128,65536,4721.0,3759.0,7327.0,2402.5445292620866
3,128,256,131072,4719.0,2181.0,6433.0,2401.5267175572517
4,128,1,512,975.0,900.0,2708.0,496.1832061068702
4,128,2,1024,952.0,778.0,2897.0,484.47837150127225
4,128,4,2048,926.0,667.0,2405.0,471.24681933842237
4,128,8,4096,728.0,549.0,1500.0,370.4834605597964
4,128,16,8192,511.0,432.0,947.0,260.05089058524175
4,128,32,16384,632.0,494.0,1318.0,321.62849872773535
4,128,64,32768,1222.0,701.0,1959.0,621.882951653944
4,128,128,65536,7192.0,5142.0,11843.0,3660.0508905852416
4,128,256,131072,9009.0,4215.0,11274.0,4584.73282442748
