CTAsPerSM,NumStages,SmemWidth,SmemHeight,BytesInFlightPerSM,DRAMBandwidthBps,SMCyclesAvg,TMAAvgOps,CyclesPerTMA
1,1,128,1,512,0,218544516.5,209715.0,1042.1024557137066
1,2,128,1,1024,0,103591318.4,209715.0,493.9623698829364
1,4,128,1,2048,0,51942046.5,209715.0,247.67921464845148
1,1,128,2,1024,0,113705311.6,104857.0,1084.384558017109
1,2,128,2,2048,0,56238123.5,104857.0,536.3316087624098
1,4,128,2,4096,0,32621615.4,104857.0,311.1057478279943
1,1,128,4,2048,0,60404683.7,52428.0,1152.1454890516518
1,2,128,4,4096,0,32649380.0,52428.0,622.7470054169528
1,4,128,4,8192,0,21293787.5,52428.0,406.1529621576257
1,1,128,8,4096,0,34864065.9,26214.0,1329.9788624399175
1,2,128,8,8192,0,21371692.8,26214.0,815.2778210116732
1,4,128,8,16384,0,14029214.0,26214.0,535.1802090486
1,1,128,16,8192,0,21439409.6,13107.0,1635.7221026932175
1,2,128,16,16384,0,17903397.7,13107.0,1365.9416876478217
1,4,128,16,32768,0,17770290.7,13107.0,1355.786274509804
1,1,128,32,16384,0,17219705.0,6553.0,2627.7590416603084
1,2,128,32,32768,0,17700761.7,6553.0,2701.169189684114
1,4,128,32,65536,0,17190099.4,6553.0,2623.241171982298
1,1,128,64,32768,0,17720743.3,3276.0,5409.262301587301
1,2,128,64,65536,0,17652564.7,3276.0,5388.450763125763
1,4,128,64,131072,0,18023952.5,3276.0,5501.817002442002
1,1,128,128,65536,0,17487338.6,1638.0,10676.030891330893
1,2,128,128,131072,0,18388697.1,1638.0,11226.310805860807
1,1,128,256,131072,0,18056794.3,819.0,22047.36788766789
2,1,128,1,1024,0,218542002.9,209714.0,1042.0954390264837
2,2,128,1,2048,0,103377470.8,209714.0,492.9450146389845
2,4,128,1,4096,0,56126524.4,209714.0,267.6336553592035
2,1,128,2,2048,0,113836302.5,104856.0,1085.644145304036
2,2,128,2,4096,0,56343612.0,104856.0,537.3427557793545
2,4,128,2,8192,0,32943834.7,104856.0,314.1816844052796
2,1,128,4,4096,0,60230314.1,52428.0,1148.819602121004
2,2,128,4,8192,0,32382165.1,52428.0,617.6502079041734
2,4,128,4,16384,0,21491759.7,52428.0,409.92903982604713
2,1,128,8,8192,0,34715149.8,26214.0,1324.298077363241
2,2,128,8,16384,0,21042091.0,26214.0,802.7043183031967
2,4,128,8,32768,0,18272226.0,26214.0,697.0407415884641
2,1,128,16,16384,0,19451022.7,13106.0,1484.1311384098885
2,2,128,16,32768,0,18161195.5,13106.0,1385.716122386693
2,4,128,16,65536,0,17856948.0,13106.0,1362.50175492141
2,1,128,32,32768,0,17468748.4,6552.0,2666.1703907203905
2,2,128,32,65536,0,18031872.0,6552.0,2752.1172161172162
2,4,128,32,131072,0,17671868.5,6552.0,2697.1716269841268
2,1,128,64,65536,0,17342285.3,3276.0,5293.737881562882
2,2,128,64,131072,0,17105959.2,3276.0,5221.599267399267
2,4,128,64,262144,0,18014401.3,3276.0,5498.901495726496
2,1,128,128,131072,0,17802338.0,1638.0,10868.338217338218
2,2,128,128,262144,0,13045857.7,1638.0,7964.50409035409
2,1,128,256,262144,0,17933978.5,818.0,21924.179095354524
3,1,128,1,1536,0,218836159.6,209715.0,1043.4931197100827
3,2,128,1,3072,0,103259791.6,209715.0,492.3815254035238
3,4,128,1,6144,0,56182647.8,209715.0,267.8999966621367
3,1,128,2,3072,0,113443189.4,104856.0,1081.8950694285497
3,2,128,2,6144,0,56060089.3,104856.0,534.6388313496604
3,4,128,2,12288,0,32700520.9,104856.0,311.86122777904933
3,1,128,4,6144,0,60804539.0,52428.0,1159.7722400244145
3,2,128,4,12288,0,32618901.0,52428.0,622.165655756466
