mode,mode_name,cluster_size,sharing_group,smem_width,smem_height,tile_bytes,total_smem_bytes,gpu_time_ns,sm_cycles,tma_instructions,smsp_tma_instructions,tma_xbar_active_cycles,tma_mcast_requests,tma_mcast_req_32B,tma_mcast_req_64B,tma_mcast_req_96B,tma_mcast_req_128B,tma_mcast_req_replayed,tma_ld_bytes,tma_ld_bytes_self,tma_ld_bytes_mcast,tma_ld_sectors,tma_ld_sectors_self,tma_ld_sectors_mcast,tma_pipe_bytes,tma_pipe_sectors,lts_sectors_total,lts_sectors_read,lts_sectors_tex,lts_sectors_tex_read,lts_requests_tex,lts_tex_hit,lts_tex_miss,lts_hit,lts_miss,lts_hit_rate_pct,dram_bytes_read,dram_bytes_total,dram_sectors_read,dram_throughput_pct_peak,gcc_xbar2gcc_sectors,stall_barrier,stall_long_scoreboard,stall_mio_throttle,lrc_ilc_input_sectors
0,implicit_l2_intra,1,1,32,8,1024,4128,28269440,44524198,2097120,2097120,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,71361330,67140204,67107840,67107840,16776960,0,67107840,18839,71342165,n/a,n/a,n/a,n/a,n/a,336,2726960.11,25541473.10,0,n/a
1,explicit_mcast,1,1,32,8,1024,4128,28400864,44731311,2097120,2097120,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,71345023,67133058,67107840,67107840,16776960,0,67107840,18559,71342258,n/a,n/a,n/a,n/a,n/a,360,2732971.65,25452091.76,0,n/a
0,implicit_l2_intra,1,1,64,4,1024,4128,28217952,44443259.80,2097120,2097120,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,71343955,67132570,67107840,67107840,16776960,0,67107840,18748,71331599,n/a,n/a,n/a,n/a,n/a,336,2744055.40,25455060.91,0,n/a
1,explicit_mcast,1,1,64,4,1024,4128,28430656,44778194.90,2097120,2097120,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,71361498,67140407,67107840,67107840,16776960,0,67107840,10484,71338152,n/a,n/a,n/a,n/a,n/a,360,2791231.74,25417619.01,0,n/a
0,implicit_l2_intra,1,1,128,4,2048,8224,16019552,25230722.20,1048560,1048560,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,69238061,67126098,67107840,67107840,16776960,0,67107840,2046,69214790,n/a,n/a,n/a,n/a,n/a,336,1776830.96,15454284.12,0,n/a
1,explicit_mcast,1,1,128,4,2048,8224,14983360,23598718.70,1048560,1048560,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,69237722,67125617,67107840,67107840,16776960,0,67107840,12346,69228449,n/a,n/a,n/a,n/a,n/a,360,1762896.25,13811993.44,0,n/a
0,implicit_l2_intra,1,1,32,16,2048,8224,15955456,25129780.20,1048560,1048560,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,69229074,67121462,67107840,67107840,16776960,0,67107840,12305,69228836,n/a,n/a,n/a,n/a,n/a,336,1782039.07,15423844.56,0,n/a
1,explicit_mcast,1,1,32,16,2048,8224,16152576,25440233.30,1048560,1048560,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,69238491,67126575,67107840,67107840,16776960,0,67107840,10608,69229028,n/a,n/a,n/a,n/a,n/a,360,1781847.84,15379857.64,0,n/a
0,implicit_l2_intra,1,1,64,8,2048,8224,15957984,25133759.70,1048560,1048560,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,69220801,67118361,67107840,67107840,16776960,0,67107840,12573,69227085,n/a,n/a,n/a,n/a,n/a,336,1778594.01,15402591.18,0,n/a
1,explicit_mcast,1,1,64,8,2048,8224,16132064,25407870.40,1048560,1048560,8388480,0,0,0,0,0,0,2147450880,2147450880,0,67107840,67107840,0,2147450880,67107840,69237808,67125910,67107840,67107840,16776960,0,67107840,10328,69227089,n/a,n/a,n/a,n/a,n/a,360,1774758.25,15401970.14,0,n/a
