Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
BF16,SS,1,64,64,16,16,644420,40.2762,3254.328859227037
BF16,SS,1,64,64,16,32,1156915,36.1536,3625.4204283944064
BF16,SS,1,64,64,16,64,2180915,34.0768,3846.3705512254674
BF16,SS,1,64,64,16,128,4228915,33.0384,3967.262337159184
BF16,SS,1,64,64,16,256,8323191,32.5125,4031.4340638216067
BF16,SS,1,64,80,16,16,772421,48.2763,3393.7977848343803
BF16,SS,1,64,80,16,32,1412789,44.1497,3711.01049384254
BF16,SS,1,64,80,16,64,2692789,42.0748,3894.0173215321283
BF16,SS,1,64,80,16,128,5252789,41.0374,3992.455662395766
BF16,SS,1,64,80,16,256,10373163,40.5202,4043.415382944803
BF16,SS,1,64,96,16,16,900421,56.2763,3493.619871953202
BF16,SS,1,64,96,16,32,1668789,52.1497,3770.069626479155
BF16,SS,1,64,96,16,64,3204789,50.0748,3926.2862757315056
BF16,SS,1,64,96,16,128,6276789,49.0374,4009.3479670618754
BF16,SS,1,64,96,16,256,12421161,48.5202,4052.085523142938
BF16,SS,1,64,112,16,16,1028421,64.2763,3568.5937118346883
BF16,SS,1,64,112,16,32,1924789,60.1497,3813.4188532943635
BF16,SS,1,64,112,16,64,3716789,58.0748,3949.664914902849
BF16,SS,1,64,112,16,128,7300789,57.0374,4021.501681352937
BF16,SS,1,64,112,16,256,14469161,56.5202,4058.301279896391
BF16,SS,1,64,128,16,16,1156668,72.2917,3626.1977516091056
BF16,SS,1,64,128,16,32,2181287,68.1652,3845.7159958453876
BF16,SS,1,64,128,16,64,4229287,66.0826,3966.914134734408
BF16,SS,1,64,128,16,128,8325029,65.0393,4030.5476842462945
BF16,SS,1,64,128,16,256,16517028,64.5196,4063.013409878549
BF16,SS,1,64,256,16,16,2180668,136.2918,3846.8051636268656
BF16,SS,1,64,256,16,32,4229287,132.1652,3966.914134734408
BF16,SS,1,64,256,16,64,8319558,129.9931,4033.1986851609818
BF16,SS,1,64,256,16,128,16517040,129.0394,4063.00711255632
BF16,SS,1,64,256,16,256,32901040,128.5197,4079.436848981129
BF16,SS,1,128,64,16,16,900668,56.2918,4656.877200586941
BF16,SS,1,128,64,16,32,1669287,52.1652,5025.26588606964
BF16,SS,1,128,64,16,64,3205287,50.0826,5234.233047006345
BF16,SS,1,128,64,16,128,6277287,49.0413,5345.372165909142
BF16,SS,1,128,64,16,256,12420169,48.5163,5403.21500196841
BF16,SS,1,128,80,16,16,968421,60.5263,5413.844890568233
BF16,SS,1,128,80,16,32,1800789,56.2747,5822.865337354086
BF16,SS,1,128,80,16,64,3464789,54.1373,6052.758449350078
BF16,SS,1,128,80,16,128,6792789,53.0687,6174.6377808388
BF16,SS,1,128,80,16,256,13449161,52.5358,6237.270585010602
BF16,SS,1,128,96,16,16,1036421,64.7763,6070.3683291574225
BF16,SS,1,128,96,16,32,1932789,60.3997,6510.23101108118
BF16,SS,1,128,96,16,64,3724789,58.1998,6756.311877360403
BF16,SS,1,128,96,16,128,7308789,57.0999,6886.456893970042
BF16,SS,1,128,96,16,256,14476231,56.5478,6953.69227450051
BF16,SS,1,128,112,16,16,1104421,69.0263,6646.046506911133
BF16,SS,1,128,112,16,32,2064789,64.5247,7109.711474830569
BF16,SS,1,128,112,16,64,3984789,62.2623,7368.054183671338
BF16,SS,1,128,112,16,128,7821460,61.1052,7507.577096548248
BF16,SS,1,128,112,16,256,15505161,60.567,7574.28962966632
BF16,SS,1,128,128,16,16,1172420,73.2763,7154.946415143777
BF16,SS,1,128,128,16,32,2196915,68.6536,7636.715336122214
BF16,SS,1,128,128,16,64,4244915,66.3268,7904.617741244866
BF16,SS,1,128,128,16,128,8340913,65.1634,8045.743469493612
BF16,SS,1,128,128,16,256,16532913,64.5817,8118.213054162402
BF16,SS,1,128,256,16,16,2196668,137.2918,7637.571945301905
BF16,SS,1,128,256,16,32,4245287,132.6652,7903.9265760727
BF16,SS,1,128,256,16,64,8335658,130.2447,8050.815119540373
BF16,SS,1,128,256,16,128,16533037,129.1644,8118.150202377745
